word,normalized_word,rank,priority_score,original_rank,ngsl_rank,supplement_category,oxford_list,oxford_level,nawl_rank,tsl_rank,bsl_rank,sources,notes
system,system,189,26.824409,181,179,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
run,run,190,26.805691,194,192,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
under,under,191,26.789479,195,193,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
turn,turn,192,26.773350,196,194,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
few,few,193,26.757303,197,195,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
bring,bring,194,26.741338,198,196,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
early,early,195,26.725453,199,197,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
hand,hand,196,26.709647,200,198,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
move,move,197,26.678273,202,200,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
money,money,198,26.662702,203,201,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
fact,fact,199,26.647207,204,202,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
however,however,200,26.631789,205,203,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
since,since,201,26.621987,193,191,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
area,area,202,26.616445,206,204,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
name,name,203,26.585981,208,206,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
read,read,204,26.570858,209,207,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
friend,friend,205,26.555808,210,208,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
month,month,206,26.540829,211,209,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
large,large,207,26.525921,212,210,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
business,business,208,26.511084,213,211,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
without,without,209,26.496315,214,212,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
state,state,210,26.493921,201,199,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
information,information,211,26.481616,215,213,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
open,open,212,26.466985,216,214,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
order,order,213,26.452422,217,215,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
word,word,214,26.423496,219,217,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
set,set,215,26.421572,187,185,,oxford3000,b1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
provide,provide,216,26.401176,207,205,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
market,market,217,26.394833,221,219,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
pay,pay,218,26.380599,222,220,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
build,build,219,26.366428,223,221,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
believe,believe,220,26.297634,228,225,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
second,second,221,26.283831,229,226,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
yes,yes,222,26.256406,231,228,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
love,love,223,26.242782,232,229,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
government,government,224,26.237926,218,216,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
job,job,225,26.215710,234,231,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
plan,plan,226,26.202260,235,232,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
result,result,227,26.188868,236,233,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
away,away,228,26.175533,237,234,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
